9×8 DataFrame
 Row │ parameters  mean       std       naive_se    mcse        ess      rhat      ess_per_sec
     │ Symbol      Float64    Float64   Float64     Float64     Float64  Float64   Float64
─────┼─────────────────────────────────────────────────────────────────────────────────────────
   1 │ α            70.87     5.45031   0.0609363   0.149127    1315.23  1.00355       48.3435
   2 │ β[1]          3.24519  1.27163   0.0142173   0.0193411   3645.47  1.00018      133.995
   3 │ β[2]        -11.5864   1.28799   0.0144001   0.019731    3604.17  1.00036      132.477
   4 │ β[3]          7.18703  1.26979   0.0141967   0.0198902   3533.39  1.00023      129.875
   5 │ β[4]          1.23478  1.26117   0.0141003   0.0171985   3779.21  1.00022      138.911
   6 │ σ             6.0021   0.273791  0.00306107  0.00404669  5396.53  0.999758     198.358
   7 │ τ             6.51175  6.31662   0.0706219   0.139667    2004.2   1.00217       73.6677
   8 │ αⱼ[1]        -3.63385  5.38179   0.0601703   0.148891    1300.15  1.00394       47.7889
   9 │ αⱼ[2]         3.55513  5.37519   0.0600965   0.147436    1310.88  1.00383       48.1836
