15×8 DataFrame
 Row │ parameters  mean        std       naive_se    mcse        ess       rhat     ess_per_sec
     │ Symbol      Float64     Float64   Float64     Float64     Float64   Float64  Float64
─────┼──────────────────────────────────────────────────────────────────────────────────────────
   1 │ α           71.9629     7.97894   0.0892073   0.459169     127.019  1.02844     0.818258
   2 │ σ            5.88057    0.254049  0.00284036  0.00306845  6455.84   1.00093    41.5886
   3 │ τₐ           6.38793    6.33843   0.0708658   0.191763     945.503  1.00699     6.09094
   4 │ τᵦ[1]        6.68924    5.60853   0.0627053   0.286755     133.377  1.02595     0.859216
   5 │ τᵦ[2]        6.0301     5.25368   0.058738    0.200477     441.95   1.01081     2.84705
   6 │ αⱼ[1]       -3.54683    5.18113   0.0579267   0.145647    1234.57   1.00614     7.95308
   7 │ αⱼ[2]        3.62226    5.17835   0.0578957   0.141562    1273.08   1.00558     8.20122
   8 │ βⱼ[1,1]      0.246146   0.843591  0.00943164  0.0396617    215.949  1.02274     1.39115
   9 │ βⱼ[2,1]     -0.951936   1.02873   0.0115015   0.0290399    944.309  1.00713     6.08325
  10 │ βⱼ[3,1]      0.476036   0.906729  0.0101375   0.0328868    512.627  1.00854     3.30235
  11 │ βⱼ[4,1]      0.0291121  0.805265  0.00900314  0.0304134    328.385  1.01431     2.11546
  12 │ βⱼ[1,2]      0.250499   0.84048   0.00939685  0.0365158    280.193  1.02024     1.80501
  13 │ βⱼ[2,2]     -0.857      1.10633   0.0123691   0.0508068    182.065  1.01764     1.17286
  14 │ βⱼ[3,2]      0.514997   0.904649  0.0101143   0.0248433   1551.72   1.00392     9.99617
  15 │ βⱼ[4,2]      0.0967288  0.769579  0.00860415  0.0198375   2197.66   1.00335    14.1574
